Pregunta,Categoria
¿Su empresa está actualmente matriculada en el Registro de Comercio?,Comercial
¿Su empresa ha actualizado oportunamente su Matrícula de Comercio?,Comercial
¿Ha realizado la actualización de la Matrícula de Comercio dentro del plazo establecido?,Comercial
¿Exhibe su empresa la Matrícula de Comercio actualizada en un lugar visible?,Comercial
"¿Ha inscrito todos los actos, contratos y documentos exigidos en el Registro de Comercio?",Comercial
¿Ha actualizado los datos de su empresa en el Registro de Comercio cuando ha sido necesario?,Comercial
¿Lleva su empresa una contabilidad formal y actualizada?,Contable
¿Cuenta su empresa con los libros contables obligatorios?,Contable
¿Dispone su empresa de los libros corporativos obligatorios?,Comercial
¿Es su contabilidad llevada por personas legalmente autorizadas?,Contable
¿Se cumplen las formalidades requeridas en los libros contables y corporativos?,Comercial
¿Cuenta con autorización para utilizar medios electrónicos o mecánicos para sus libros?,Comercial
¿Está su contabilidad registrada en idioma español y en moneda nacional?,Contable
¿Está libre su contabilidad de alteraciones no justificadas?,Contable
¿Se cumple con las condiciones establecidas para los registros en los libros Diario y Mayor?,Contable
¿Aplica su empresa criterios uniformes y revelados para la valorización de partidas de balance?,Contable
¿Están firmados sus estados financieros por los responsables correspondientes?,Contable
¿Su empresa archiva adecuadamente la correspondencia comercial?,Comercial
"¿Conserva su empresa los libros, papeles de comercio y correspondencia durante el tiempo legal requerido?",Comercial
¿Han sido auditados sus estados financieros por una firma externa autorizada?,Contable
¿Su empresa mantiene una única contabilidad?,Contable
¿Publica su empresa los documentos requeridos en la Gaceta Electrónica del Registro de Comercio?,Comercial
¿Cumplen los aportes de socios o accionistas con los requisitos legales?,Comercial
¿Se realiza la distribución de utilidades y el tratamiento de pérdidas acumuladas conforme a la normativa?,Comercial
¿Ha constituido su empresa la reserva legal exigida?,Comercial
¿Está debidamente registrado el contenido en el Libro de Registro de Socios?,Comercial
¿Celebra su empresa asambleas anuales ordinarias dentro del plazo establecido?,Comercial
¿Se cumple con el quórum legal en las asambleas o juntas de accionistas?,Comercial
¿Está correctamente registrado el contenido en el Libro de Registro de Acciones?,Comercial
¿La Junta General Ordinaria de Accionistas se realiza dentro del plazo legal?,Comercial
¿Se convoca a la Junta General Ordinaria para tratar los puntos del art. 285 del Código de Comercio?,Comercial
¿Los temas tratados en las Juntas Generales están dentro de la competencia legal de la asamblea?,Comercial
¿Se cumplen las formalidades para convocar a asambleas o juntas de accionistas?,Comercial
¿Quienes convocan a las asambleas tienen la competencia legal para hacerlo?,Comercial
¿Los asuntos tratados en las juntas de accionistas se ajustan a la normativa vigente?,Comercial
¿La composición del Directorio cumple con los requisitos legales?,Comercial
¿La elección de los miembros del Directorio fue realizada legalmente?,Comercial
¿Publica su empresa la memoria anual (en caso de ser Sociedad Anónima)?,Comercial
¿Están constituidas las fianzas de los Directores y Síndicos cuando corresponde?,Comercial
¿Han sido designados los Directores en representación de los accionistas minoritarios?,Comercial
¿La elección de los Síndicos fue realizada conforme a la normativa?,Comercial
¿Se ha cumplido con la reducción de capital cuando ha sido obligatoria?,Comercial
¿Las sociedades extranjeras cumplen los requisitos para ejercer actos de comercio en el país?,Comercial
¿Están debidamente autenticados los documentos emitidos en el exterior por sociedades extranjeras?,Comercial
¿Aplica su empresa las normas de contabilidad o auditoría emitidas por el Colegio de Auditores de Bolivia?,Contable
¿Permite su empresa la inspección administrativa cuando es requerida?,Comercial
¿Responde su empresa a las solicitudes de información por parte de la AEMP?,Comercial
¿Cumple su empresa con las resoluciones administrativas y otros actos emitidos por la AEMP?,Comercial